iso_a3,country,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,cvd_death_rate
MNE,Montenegro,2020-06-14,324.0,9.0,515.873,14.33,387.305
MSR,Montserrat,2020-06-14,11.0,1.0,2200.44,200.04,
MAR,Morocco,2020-06-14,8692.0,212.0,235.488,5.744,419.14599999999996
MOZ,Mozambique,2020-06-14,553.0,2.0,17.692999999999998,0.064,329.94199999999995
MMR,Myanmar,2020-06-14,261.0,6.0,4.797,0.11,202.104
NAM,Namibia,2020-06-14,32.0,0.0,12.594000000000001,0.0,243.81099999999998
NPL,Nepal,2020-06-14,5335.0,18.0,183.102,0.618,260.797
NLD,Netherlands,2020-06-14,48640.0,6057.0,2838.655,353.49,109.361
NCL,New Caledonia,2020-06-14,21.0,0.0,73.557,0.0,
NZL,New Zealand,2020-06-14,1154.0,22.0,239.308,4.562,128.797
NIC,Nicaragua,2020-06-14,1655.0,55.0,249.828,8.302,137.016
NER,Niger,2020-06-14,980.0,66.0,40.485,2.727,238.33900000000003
NGA,Nigeria,2020-06-14,15682.0,407.0,76.075,1.974,181.013
MNP,Northern Mariana Islands,2020-06-14,30.0,2.0,521.222,34.748000000000005,194.99400000000003
NOR,Norway,2020-06-14,8606.0,242.0,1587.4589999999998,44.638999999999996,114.316
OMN,Oman,2020-06-14,22077.0,99.0,4323.21,19.387,266.342
PAK,Pakistan,2020-06-14,139230.0,2632.0,630.307,11.915,423.031
PSE,Palestine,2020-06-14,673.0,5.0,131.924,0.98,265.91
PAN,Panama,2020-06-14,20059.0,429.0,4648.917,99.426,128.346
PNG,Papua New Guinea,2020-06-14,8.0,0.0,0.894,0.0,561.494
PRY,Paraguay,2020-06-14,1261.0,11.0,176.796,1.5419999999999998,199.128
PER,Peru,2020-06-14,225132.0,6498.0,6828.007,197.077,85.755
PHL,Philippines,2020-06-14,25392.0,1074.0,231.71900000000002,9.801,370.43699999999995
POL,Poland,2020-06-14,29017.0,1237.0,766.7,32.685,227.331
PRT,Portugal,2020-06-14,36463.0,1512.0,3575.958,148.283,127.84200000000001
PRI,Puerto Rico,2020-06-14,5690.0,146.0,1988.9260000000002,51.034,108.094
QAT,Qatar,2020-06-14,78416.0,70.0,27217.76,24.296999999999997,176.69
ROU,Romania,2020-06-14,21679.0,1391.0,1126.903,72.306,370.94599999999997
RUS,Russia,2020-06-14,520129.0,6829.0,3564.127,46.795,431.29699999999997
RWA,Rwanda,2020-06-14,541.0,2.0,41.769,0.154,191.375
KNA,Saint Kitts and Nevis,2020-06-14,15.0,0.0,281.997,0.0,
LCA,Saint Lucia,2020-06-14,19.0,0.0,103.469,0.0,204.62
VCT,Saint Vincent and the Grenadines,2020-06-14,27.0,0.0,243.359,0.0,252.675
SMR,San Marino,2020-06-14,694.0,42.0,20449.054,1237.5510000000002,
STP,Sao Tome and Principe,2020-06-14,659.0,12.0,3006.922,54.754,270.113
SAU,Saudi Arabia,2020-06-14,123308.0,932.0,3541.922,26.771,259.538
SEN,Senegal,2020-06-14,4996.0,60.0,298.377,3.583,241.21900000000002
SRB,Serbia,2020-06-14,12251.0,253.0,1800.401,37.181,439.415
SYC,Seychelles,2020-06-14,11.0,0.0,111.85700000000001,0.0,242.648
SLE,Sierra Leone,2020-06-14,1132.0,51.0,141.908,6.393,325.721
SGP,Singapore,2020-06-14,40197.0,26.0,6870.879,4.444,92.243
SXM,Sint Maarten (Dutch part),2020-06-14,77.0,15.0,1795.625,349.79699999999997,
SVK,Slovakia,2020-06-14,1545.0,28.0,282.986,5.129,287.959
SVN,Slovenia,2020-06-14,1492.0,109.0,717.676,52.431000000000004,153.493
SOM,Somalia,2020-06-14,2579.0,87.0,162.27,5.474,365.769
ZAF,South Africa,2020-06-14,65736.0,1423.0,1108.37,23.993000000000002,200.38
KOR,South Korea,2020-06-14,12085.0,277.0,235.717,5.403,85.99799999999999
SSD,South Sudan,2020-06-14,1693.0,27.0,151.245,2.412,280.775
LKA,Sri Lanka,2020-06-14,1884.0,11.0,87.98299999999999,0.514,197.093
SDN,Sudan,2020-06-14,6879.0,433.0,156.878,9.875,431.38800000000003
SUR,Suriname,2020-06-14,196.0,3.0,334.11,5.114,258.314
SWZ,Swaziland,2020-06-14,486.0,3.0,418.906,2.5860000000000003,333.436
SWE,Sweden,2020-06-14,50931.0,4874.0,5043.038,482.60900000000004,133.982
